id,timestamp,sensor,t,h
28969,2024-11-28 19:19:59.806257+00,secado-d4,24.9,41
29439,2024-11-28 19:39:18.402973+00,flora-d22-esquina,24.4,51.9
29726,2024-11-28 19:48:58.85146+00,secado-d4,24.8,41
30013,2024-11-28 20:01:51.219874+00,flora-d4-interno,22.1,58.6
30196,2024-11-28 20:11:16.734686+00,flora-d4-interno,22.2,59.8
30483,2024-11-28 20:25:48.158214+00,flora-d4-interno,24.8,44.7
30770,2024-11-28 20:39:39.156106+00,flora-d4-interno,25,43.1
31057,2024-11-28 20:54:04.958379+00,flora-d4-interno,24.9,43
31344,2024-11-28 21:08:30.788164+00,flora-d4-interno,25,43.6
31631,2024-11-28 21:22:56.877421+00,flora-d22-esquina,25.1,48.2
31738,2024-11-28 21:28:42.889984+00,flora-d4-interno,25,43.1
32025,2024-11-28 21:42:39.573313+00,flora-d4-interno,25,42.8
32312,2024-11-28 21:57:05.600973+00,flora-d22-esquina,24.5,51.9
32599,2024-11-28 22:11:42.632501+00,flora-d4-interno,22.3,55.3
32886,2024-11-28 22:26:14.311246+00,flora-d22-esquina,24.8,49.1
33173,2024-11-28 22:40:45.683565+00,flora-d4-interno,24.9,43.9
33460,2024-11-28 22:55:17.19705+00,flora-d4-interno,24.9,42.8
33582,2024-11-28 23:01:44.26986+00,flora-d4-interno,24.9,42.7
33869,2024-11-28 23:15:35.408182+00,flora-d4-interno,24.8,42.8
34156,2024-11-28 23:30:01.277295+00,flora-d22-esquina,25.1,46.3
34443,2024-11-28 23:44:32.401933+00,flora-d4-interno,24.4,42.5
34730,2024-11-28 23:57:55.263861+00,flora-d22-esquina,25.1,52.7
35017,2024-11-29 00:12:26.089992+00,flora-d4-interno,22.1,57.1
35304,2024-11-29 00:25:14.037675+00,secado-d4,24.9,43
35591,2024-11-29 00:35:31.896446+00,flora-d22-esquina,23.3,43.6
35877,2024-11-29 00:47:28.362298+00,flora-d4-interno,22.9,39.6
36206,2024-11-29 00:59:08.630502+00,flora-d4-interno,22.8,39.7
